batsman,Fours,Sixes,Boundary_Runs,Total_Runs,Boundary_Percentage
"AD Russell",105,129,1194,1517,78.70798
"CH Gayle",384,349,3630,4772,76.06873
"AC Gilchrist",239,92,1508,2069,72.88545
"V Sehwag",334,106,1972,2728,72.28739
"DR Smith",245,117,1682,2385,70.52411
"CA Lynn",128,63,890,1280,69.53125
"SR Watson",376,190,2644,3874,68.24987
"GJ Maxwell",119,91,1022,1505,67.90698
"BB McCullum",293,130,1952,2880,67.77778
"ML Hayden",121,44,748,1107,67.57001
"HH Pandya",86,93,902,1349,66.86434
"JC Buttler",167,77,1130,1714,65.92765
"N Rana",127,72,940,1437,65.41406
"KA Pollard",196,198,1972,3023,65.23321
"RR Pant",184,103,1354,2079,65.12747
"LMP Simmons",109,44,700,1079,64.87488
"Ishan Kishan",100,64,784,1211,64.73988
"Q de Kock",201,76,1260,1959,64.31853
"Yuvraj Singh",217,149,1762,2750,64.07273
"AJ Finch",204,75,1266,2005,63.14214
