player,Balls_Faced,Runs_Scored,Batting_Strike_Rate,Balls_Bowled,Wickets_Taken,Bowling_Strike_Rate
"AD Russell",882,1517,171.9955,1186,1180,1.0051
"SP Narine",573,892,155.6719,2824,2808,1.0057
"HH Pandya",897,1349,150.3902,914,911,1.0033
"GJ Maxwell",1013,1505,148.5686,558,557,1.0018
"KA Pollard",2107,3023,143.4741,1414,1403,1.0078
"CH Gayle",3342,4772,142.7887,584,583,1.0017
"KH Pandya",727,1000,137.5516,1283,1280,1.0023
"YK Pathan",2330,3204,137.5107,1184,1180,1.0034
"JA Morkel",711,974,136.9902,1807,1796,1.0061
"SR Watson",2888,3874,134.1413,2137,2122,1.0071
